"schema_name","table_name","column_name","data_type"
pems,base64_data,c,character(1)
pems,base64_data,val,smallint
pems,cms_complaint,platform,character(1)
pems,cms_complaint,cms_id,character(22)
pems,cms_complaint,cc_id,character(10)
pems,cms_complaint,previous_cc_id,character(10)
pems,cms_complaint,incchan,character(16)
pems,cms_complaint,complaint_type_grp,character(4)
pems,cms_complaint,complaint_type_grp_descr,character varying(60)
pems,cms_complaint,complaint_type_cd,character(12)
pems,cms_complaint,complaint_type_cd_descr,character varying(60)
pems,cms_complaint,complaint_subtype_char_ty,character(8)
pems,cms_complaint,complaint_subtype,character varying(254)
pems,cms_complaint,complaint_subtype_descr,character varying(60)
pems,cms_complaint,complainant_id,character(10)
pems,cms_complaint,complainant_name,character varying(64)
pems,cms_complaint,complainant_contact_no,character varying(24)
pems,cms_complaint,complainant_email,character varying(70)
pems,cms_complaint,wsd_first_receive_dttm,timestamp(0) without time zone
pems,cms_complaint,complaint_remark,character varying(2000)
pems,cms_complaint,complaint_title,character varying(254)
pems,cms_complaint,complaint_status,character(1)
pems,cms_complaint,cms_follow_grp,character(12)
pems,cms_complaint,subject_officer,character varying(16)
pems,cms_complaint,supervisor,character varying(16)
pems,cms_complaint,approved_date,timestamp(0) without time zone
pems,cms_complaint,approved_by,character varying(16)
pems,cms_complaint,interim_replied_date,timestamp(0) without time zone
pems,cms_complaint,interim_replied_by,character varying(16)
pems,cms_complaint,substantive_replied_date,timestamp(0) without time zone
pems,cms_complaint,substantive_replied_by,character varying(16)
pems,cms_complaint,created_by,character varying(16)
pems,cms_complaint,created_date,timestamp(0) without time zone
pems,cms_complaint,modified_by,character varying(16)
pems,cms_complaint,modified_date,timestamp(0) without time zone
pems,cms_complaint,location,character varying(254)
pems,cms_complaint,interim_replied_edit_dt,timestamp(0) without time zone
pems,cms_complaint,substantive_replied_edit_dt,timestamp(0) without time zone
pems,cms_complaint,district,character varying(30)
pems,cms_complaint,incoming_source,character varying(1)
pems,cms_complaint,agency_name,character varying(254)
pems,cms_complaint,non_wsd_complaint,character varying(1)
pems,cms_complaint,complaint_level,character varying(20)
pems,cms_complaint,case_number,character varying(12)
pems,cms_complaint,os_works_target_comp_date,timestamp(0) without time zone
pems,cms_complaint,os_works_actual_comp_date,timestamp(0) without time zone
pems,shedlock,name,character varying(64)
pems,shedlock,lock_until,timestamp(3) without time zone
pems,shedlock,locked_at,timestamp(3) without time zone
pems,shedlock,locked_by,character varying(255)
pems,synccursor,type,character varying(20)
pems,synccursor,personid,character varying(20)
pems,synccursor,version,bigint
pems,synccursor,createtime,timestamp without time zone
pems,synccursor,lastupdatetime,timestamp without time zone
pems,t_annon_affectedaddressinfo,id,bigint
pems,t_annon_affectedaddressinfo,recid,bigint
pems,t_annon_affectedaddressinfo,affectedaddress,character varying(200)
pems,t_annon_affectedaddressinfo,affectedaddressgn,character varying(200)
pems,t_annon_affectedaddressinfo,affectedaddressen,character varying(1000)
pems,t_annon_affectedaddressinfo2,id,bigint
pems,t_annon_affectedaddressinfo2,name,character varying(20)
pems,t_annon_affectedaddressinfo2,code,character varying(20)
pems,t_annon_dictname,recid,bigint
pems,t_annon_dictname,actionnamecn,character varying(50)
pems,t_annon_dictname,actionnamegn,character varying(50)
pems,t_annon_dictname,actionnameen,character varying(50)
pems,t_annon_dictname,subactionnamecn,character varying(50)
pems,t_annon_dictname,subactionnamegn,character varying(50)
pems,t_annon_dictname,subactionnameen,character varying(50)
pems,t_annon_dictname,actiongroupname,character varying(50)
pems,t_annon_dictname,statename,character varying(50)
pems,t_annon_dictname,watertypenamecn,character varying(50)
pems,t_annon_dictname,watertypenamegn,character varying(50)
pems,t_annon_dictname,watertypenameen,character varying(50)
pems,t_annon_dictname,levelnamecn,character varying(50)
pems,t_annon_dictname,levelnamegn,character varying(50)
pems,t_annon_dictname,levelnameen,character varying(50)
pems,t_annon_dictname,bigregionnamecn,character varying(1000)
pems,t_annon_dictname,bigregionnamegn,character varying(1000)
pems,t_annon_dictname,bigregionnameen,character varying(1000)
pems,t_annon_dictname,districtnamecn,character varying(1000)
pems,t_annon_dictname,districtnamegn,character varying(1000)
pems,t_annon_dictname,districtnameen,character varying(1000)
pems,t_annon_dictname,estatenamecn,character varying(2000)
pems,t_annon_dictname,estatenamegn,character varying(2000)
pems,t_annon_dictname,estatenameen,character varying(2000)
pems,t_annon_dictname,createtime,timestamp without time zone
pems,t_annon_dictname,creator,integer
pems,t_annon_dictname,lastupdatetime,timestamp without time zone
pems,t_annon_dictname,updater,integer
pems,t_annon_district,id,bigint
pems,t_annon_district,recid,bigint
pems,t_annon_district,disid,character varying(30)
pems,t_annon_district,namecn,character varying(100)
pems,t_annon_district,namegn,character varying(100)
pems,t_annon_district,nameen,character varying(100)
pems,t_annon_district,createtime,timestamp without time zone
pems,t_annon_district,creator,integer
pems,t_annon_district,lastupdatetime,timestamp without time zone
pems,t_annon_district,updater,integer
pems,t_annon_inforecourse,id,bigint
pems,t_annon_inforecourse,recid,bigint
pems,t_annon_inforecourse,updateid,bigint
pems,t_annon_inforecourse,recoursetelno,character varying(100)
pems,t_annon_inforecourse,recoursepeople,character varying(100)
pems,t_annon_inforecourse,recourseorderid,character varying(100)
pems,t_annon_inforecourse,recoursecontent,character varying(2000)
pems,t_annon_inforecourse,recorder,character varying(50)
pems,t_annon_inforecourse,createtime,timestamp without time zone
pems,t_annon_inforecourse,creator,integer
pems,t_annon_inforecourse,recordtime,date
pems,t_annon_inforecourse,createname,character varying(50)
pems,t_annon_inforecourse,posttitle,character varying(50)
pems,t_annon_largeestateinfo,id,bigint
pems,t_annon_largeestateinfo,recid,bigint
pems,t_annon_largeestateinfo,letid,character varying(30)
pems,t_annon_largeestateinfo,namecn,character varying(100)
pems,t_annon_largeestateinfo,nameen,character varying(100)
pems,t_annon_largeestateinfo,namegn,character varying(100)
pems,t_annon_largeestateinfo,createtime,timestamp without time zone
pems,t_annon_largeestateinfo,creator,integer
pems,t_annon_largeestateinfo,lastupdatetime,timestamp without time zone
pems,t_annon_largeestateinfo,updater,integer
pems,t_annon_subarea,id,bigint
pems,t_annon_subarea,recid,bigint
pems,t_annon_subarea,subareaid,character varying(30)
pems,t_annon_subarea,subareasubid,character varying(30)
pems,t_annon_subarea,namecn,character varying(100)
pems,t_annon_subarea,namegn,character varying(100)
pems,t_annon_subarea,nameen,character varying(100)
pems,t_annon_subarea,createtime,timestamp without time zone
pems,t_annon_subarea,creator,integer
pems,t_annon_subarea,lastupdatetime,timestamp without time zone
pems,t_annon_subarea,updater,integer
pems,t_annon_updatelog,id,bigint
pems,t_annon_updatelog,recid,bigint
pems,t_annon_updatelog,parentid,bigint
pems,t_annon_updatelog,watersupplyid,character varying(500)
pems,t_annon_updatelog,updatetype,integer
pems,t_annon_updatelog,title,character varying(100)
pems,t_annon_updatelog,actionregion,integer
pems,t_annon_updatelog,actiongroup,character varying(50)
pems,t_annon_updatelog,subactionregion,integer
pems,t_annon_updatelog,concerndistrict,character varying(1000)
pems,t_annon_updatelog,subarea,character varying(300)
pems,t_annon_updatelog,subareasub,character varying(2000)
pems,t_annon_updatelog,largeestate,character varying(1000)
pems,t_annon_updatelog,type,integer
pems,t_annon_updatelog,level,integer
pems,t_annon_updatelog,cutofftime,timestamp without time zone
pems,t_annon_updatelog,noticetime,timestamp without time zone
pems,t_annon_updatelog,prerecoverytime,timestamp without time zone
pems,t_annon_updatelog,actualrecoverytime,timestamp without time zone
pems,t_annon_updatelog,linkperson1,character varying(100)
pems,t_annon_updatelog,linkphone1,character varying(20)
pems,t_annon_updatelog,linkperson2,character varying(100)
pems,t_annon_updatelog,linkphone2,character varying(20)
pems,t_annon_updatelog,buildlocation,character varying(100)
pems,t_annon_updatelog,locationcoord,character varying(100)
pems,t_annon_updatelog,state,character varying(5)
pems,t_annon_updatelog,cutoffcase,integer
pems,t_annon_updatelog,cutoffcaseen,character varying(100)
pems,t_annon_updatelog,cutoffcasecn,character varying(100)
pems,t_annon_updatelog,pushoff,character varying(100)
pems,t_annon_updatelog,noticecontent,character varying(1000)
pems,t_annon_updatelog,noticecontentgn,character varying(1000)
pems,t_annon_updatelog,noticecontenten,character varying(1000)
pems,t_annon_updatelog,remarkforinside,character varying(1000)
pems,t_annon_updatelog,remarkforoutside,character varying(1000)
pems,t_annon_updatelog,affectedaddress,character varying(1000)
pems,t_annon_updatelog,affectedaddressgn,character varying(1000)
pems,t_annon_updatelog,affectedaddressen,character varying(1000)
pems,t_annon_updatelog,creator,integer
pems,t_annon_updatelog,createtime,timestamp(0) without time zone
pems,t_annon_updatelog,updater,integer
pems,t_annon_updatelog,lastupdatetime,timestamp without time zone
pems,t_annon_updatelog,forml,character varying(2)
pems,t_annon_updatelog,linkperson2gn,character varying(100)
pems,t_annon_updatelog,linkperson2en,character varying(100)
pems,t_annon_updatelog,relateorder,character varying(50)
pems,t_annon_updatelog,filecn,character varying(255)
pems,t_annon_updatelog,filegn,character varying(255)
pems,t_annon_updatelog,fileen,character varying(255)
pems,t_annon_updatelog,locationx,character varying(100)
pems,t_annon_updatelog,locationy,character varying(100)
pems,t_annon_updatelog,remarkforoutsidegn,text
pems,t_annon_updatelog,remarkforoutsideen,text
pems,t_annon_updatelog,createname,character varying(50)
pems,t_annon_updatelog,updatename,character varying(50)
pems,t_annon_updatelog,createposttitle,character varying(50)
pems,t_annon_updatelog,updateposttitle,character varying(50)
pems,t_annon_watercutoffnotice,recid,bigint
pems,t_annon_watercutoffnotice,actionregion,integer
pems,t_annon_watercutoffnotice,subactionregion,integer
pems,t_annon_watercutoffnotice,actiongroup,character varying(50)
pems,t_annon_watercutoffnotice,type,integer
pems,t_annon_watercutoffnotice,level,integer
pems,t_annon_watercutoffnotice,cutofftime,timestamp without time zone
pems,t_annon_watercutoffnotice,noticetime,timestamp without time zone
pems,t_annon_watercutoffnotice,prerecoverytime,timestamp without time zone
pems,t_annon_watercutoffnotice,actualrecoverytime,timestamp without time zone
pems,t_annon_watercutoffnotice,linkperson1,character varying(100)
pems,t_annon_watercutoffnotice,linkphone1,character varying(20)
pems,t_annon_watercutoffnotice,linkperson2,character varying(100)
pems,t_annon_watercutoffnotice,linkphone2,character varying(20)
pems,t_annon_watercutoffnotice,buildlocation,character varying(100)
pems,t_annon_watercutoffnotice,locationcoord,character varying(100)
