"statistical_day","installation_id","loc_name","count"
"20260319",TW011,Dosed Water,1
"20260319",TW011,Filtered Water,3
"20260319",TW011,Final Water,1
"20260319",TW011,Raw Water,2
"20260320",TW011,Dosed Water,1
"20260320",TW011,Filtered Water,3
"20260320",TW011,Final Water,1
"20260320",TW011,Raw Water,2
"20260321",TW011,Dosed Water,2
"20260321",TW011,Filtered Water,6
"20260321",TW011,Final Water,2
"20260321",TW011,Raw Water,4
"20260322",TW011,Dosed Water,2
"20260322",TW011,Filtered Water,6
"20260322",TW011,Final Water,2
"20260322",TW011,Raw Water,4
"20260323",TW011,Dosed Water,1
"20260323",TW011,Filtered Water,3
"20260323",TW011,Final Water,1
"20260323",TW011,Raw Water,2
"20260324",TW011,Dosed Water,1
"20260324",TW011,Filtered Water,3
"20260324",TW011,Final Water,1
"20260324",TW011,Raw Water,2
"20260325",TW011,Dosed Water,1
"20260325",TW011,Filtered Water,3
"20260325",TW011,Final Water,1
"20260325",TW011,Raw Water,2
"20260326",TW011,Dosed Water,1
"20260326",TW011,Filtered Water,3
"20260326",TW011,Final Water,1
"20260326",TW011,Raw Water,2
"20260327",TW011,Dosed Water,1
"20260327",TW011,Filtered Water,3
"20260327",TW011,Final Water,1
"20260327",TW011,Raw Water,2
"20260328",TW011,Dosed Water,2
"20260328",TW011,Filtered Water,6
"20260328",TW011,Final Water,2
"20260328",TW011,Raw Water,4
"20260329",TW011,Dosed Water,2
"20260329",TW011,Filtered Water,6
"20260329",TW011,Final Water,2
"20260329",TW011,Raw Water,4
"20260330",TW011,Dosed Water,1
"20260330",TW011,Filtered Water,3
"20260330",TW011,Final Water,1
"20260330",TW011,Raw Water,2
"20260331",TW011,Dosed Water,1
"20260331",TW011,Filtered Water,3
"20260331",TW011,Final Water,1
"20260331",TW011,Raw Water,2
"20260401",TW011,Dosed Water,1
"20260401",TW011,Filtered Water,3
"20260401",TW011,Final Water,1
"20260401",TW011,Raw Water,2
"20260402",TW011,Dosed Water,1
"20260402",TW011,Filtered Water,3
"20260402",TW011,Final Water,1
"20260402",TW011,Raw Water,2
"20260403",TW011,Dosed Water,2
"20260403",TW011,Filtered Water,6
"20260403",TW011,Final Water,2
"20260403",TW011,Raw Water,4
"20260404",TW011,Dosed Water,2
"20260404",TW011,Filtered Water,6
"20260404",TW011,Final Water,2
"20260404",TW011,Raw Water,4
"20260405",TW011,Dosed Water,2
"20260405",TW011,Filtered Water,6
"20260405",TW011,Final Water,2
"20260405",TW011,Raw Water,4
"20260406",TW011,Dosed Water,2
"20260406",TW011,Filtered Water,6
"20260406",TW011,Final Water,2
"20260406",TW011,Raw Water,4
"20260407",TW011,Dosed Water,2
"20260407",TW011,Filtered Water,6
"20260407",TW011,Final Water,2
"20260407",TW011,Raw Water,4
"20260408",TW011,Dosed Water,1
"20260408",TW011,Filtered Water,3
"20260408",TW011,Final Water,1
"20260408",TW011,Raw Water,2
"20260409",TW011,Dosed Water,1
"20260409",TW011,Filtered Water,3
"20260409",TW011,Final Water,1
"20260409",TW011,Raw Water,2
"20260410",TW011,Dosed Water,1
"20260410",TW011,Filtered Water,3
"20260410",TW011,Final Water,1
"20260410",TW011,Raw Water,2
"20260411",TW011,Dosed Water,2
"20260411",TW011,Filtered Water,6
"20260411",TW011,Final Water,2
"20260411",TW011,Raw Water,4
"20260412",TW011,Dosed Water,2
"20260412",TW011,Filtered Water,6
"20260412",TW011,Final Water,2
"20260412",TW011,Raw Water,4
"20260413",TW011,Dosed Water,1
"20260413",TW011,Filtered Water,3
"20260413",TW011,Final Water,1
"20260413",TW011,Raw Water,2
"20260414",TW011,Dosed Water,1
"20260414",TW011,Filtered Water,3
"20260414",TW011,Final Water,1
"20260414",TW011,Raw Water,2
"20260415",TW011,Dosed Water,1
"20260415",TW011,Filtered Water,3
"20260415",TW011,Final Water,1
"20260415",TW011,Raw Water,2
"20260416",TW011,Dosed Water,1
"20260416",TW011,Filtered Water,3
"20260416",TW011,Final Water,1
"20260416",TW011,Raw Water,2
"20260417",TW011,Dosed Water,2
"20260417",TW011,Filtered Water,6
"20260417",TW011,Final Water,2
"20260417",TW011,Raw Water,4
"20260418",TW011,Dosed Water,2
"20260418",TW011,Filtered Water,6
"20260418",TW011,Final Water,2
"20260418",TW011,Raw Water,4
"20260419",TW011,Dosed Water,2
"20260419",TW011,Filtered Water,6
"20260419",TW011,Final Water,2
"20260419",TW011,Raw Water,4
"20260420",TW011,Dosed Water,2
"20260420",TW011,Filtered Water,6
"20260420",TW011,Final Water,2
"20260420",TW011,Raw Water,4
"20260421",TW011,Dosed Water,2
"20260421",TW011,Filtered Water,6
"20260421",TW011,Final Water,2
"20260421",TW011,Raw Water,4
"20260422",TW011,Dosed Water,1
"20260422",TW011,Filtered Water,3
"20260422",TW011,Final Water,1
"20260422",TW011,Raw Water,2
