"ID","asset_ID","offical_ID"
1,1,17
2,2,11
3,4,115
4,5,12
5,6,147
6,7,83
7,8,154
8,9,94
9,10,160
10,11,148
11,12,87
12,13,5
13,14,30
14,16,74
15,17,63
16,18,6
17,19,8
18,20,75
19,21,22
20,23,23
21,24,20
22,25,78
23,26,37
24,27,65
25,28,96
26,29,85
27,30,24
28,31,109
29,32,110
30,33,7
31,34,3
32,35,26
33,38,1
34,43,2
35,44,80
36,45,80
37,46,118
38,47,150
39,48,107
40,50,25
41,51,97
42,52,58
43,53,41
44,54,66
45,55,56
46,56,10
47,57,122
48,58,120
49,59,129
50,63,52
51,64,79
52,65,19
53,66,102
54,67,112
55,69,88
56,70,90
57,71,93
58,73,64
59,76,152
60,78,15
61,80,81
62,81,192
63,82,161
64,84,69
65,85,121
66,86,103
67,87,34
68,88,62
69,89,153
70,92,130
71,93,73
72,94,156
73,95,32
74,96,151
75,97,119
76,99,98
77,100,187
78,101,158
79,102,162
80,105,125
81,106,82
82,107,18
83,108,35
84,109,140
85,110,54
86,111,105
87,112,116
88,113,44
89,114,45
90,115,46
91,116,47
92,117,76
93,118,89
94,119,48
95,121,49
96,122,50
97,126,51
98,128,159
99,129,155
100,130,111
101,131,196
102,134,128
103,135,40
104,136,136
105,137,185
106,138,209
107,140,29
108,142,21
109,143,9
110,144,92
111,145,42
112,146,53
113,147,31
114,149,36
115,150,86
116,151,61
117,153,100
118,155,28
119,158,38
120,159,145
121,160,60
122,163,95
123,164,106
124,166,137
125,168,142
126,169,195
127,170,132
128,172,141
129,174,99
130,175,71
131,176,175
132,177,191
133,178,169
134,179,179
135,180,164
136,181,170
137,182,171
138,183,167
139,184,202
140,185,177
141,186,181
142,187,165
143,189,166
144,190,182
145,192,178
146,193,205
147,195,193
148,197,172
149,198,33
150,199,77
151,200,67
152,201,101
153,203,184
154,204,208
155,205,189
156,206,188
157,207,173
158,209,190
159,211,203
160,212,183
161,213,180
162,214,174
163,215,204
164,216,206
165,217,199
166,218,131
167,219,135
168,220,57
169,221,123
170,222,186
171,225,176
172,226,72
173,228,197
174,229,200
175,231,134
176,232,201
177,233,194
178,234,207
179,235,168
180,236,133
181,238,4
182,239,138
183,240,75
184,191,198
185,196,211
