"tw_id","i_code","tw_name_en","tw_name_tc","tw_name_cn","rpt_label","region_code","region_ind","capacity","dim_update_time","dim_load_time"
TW00000025,TW025,Siu Ho Wan Water Treatment Works,小蠔灣濾水廠,小蚝湾滤水厂,Siu Ho Wan WTW,RG_SR_000001,I,150.0000,2025-10-30 10:19:56.547,2025-10-30 10:19:56.547
TW00000020,TW019,Cheung Sha Water Treatment Works,長沙濾水廠,长沙滤水厂,Cheung Sha WTW,RG_SR_000001,I,6.0000,2025-10-30 10:19:56.547,2025-10-30 10:19:56.547
TW00000022,TW021,Au Tau Water Treatment Works,凹頭濾水廠,凹头滤水厂,Au Tau WTW,RG_SR_000003,M,330.0000,2025-10-30 10:19:56.547,2025-10-30 10:19:56.547
TW00000012,TW011,Tai O Water Treatment Works,大澳濾水廠,大澳滤水厂,Tai O WTW,RG_SR_000001,I,2.0000,2025-10-30 10:19:56.547,2025-10-30 10:19:56.547
TW00000018,TW017,Sheung Shui Water Treatment Works,上水濾水廠,上水滤水厂,Sheung Shui WTW,RG_SR_000002,M,200.0000,2025-10-30 10:19:56.547,2025-10-30 10:19:56.547
TW00000021,TW020,Pak Kong Water Treatment Works,北港濾水廠,北港滤水厂,Pak Kong WTW,RG_SR_000002,M,800.0000,2025-10-30 10:19:56.547,2025-10-30 10:19:56.547
TW00000028,TW027,Ngau Tam Mei Water Treatment Works,牛潭尾濾水廠,牛潭尾滤水厂,Ngau Tam Mei WTW,RG_SR_000003,M,230.0000,2025-10-30 10:19:56.547,2025-10-30 10:19:56.547
TW00000010,TW009,Silver Mine Bay Water Treatment Works,銀礦灣濾水廠,银矿湾滤水厂,Silver Mine Bay WTW,RG_SR_000001,I,159.0000,2025-10-30 10:19:56.547,2025-10-30 10:19:56.547
TW00000024,TW024,Ma On Shan Water Treatment Works,馬鞍山濾水廠,马鞍山滤水厂,Ma On Shan WTW,RG_SR_000002,M,227.0000,2025-10-30 10:19:56.547,2025-10-30 10:19:56.547
TW00000027,TW026,Tai Po Water Treatment Works,大埔濾水廠,大埔滤水厂,Tai Po WTW,RG_SR_000002,M,800.0000,2025-10-30 10:19:56.547,2025-10-30 10:19:56.547
TW00000014,TW013,Sha Tin Water Treatment Works,沙田濾水廠,沙田滤水厂,Sha Tin WTW,RG_SR_000002,M,540.0000,2025-10-30 10:19:56.547,2025-10-30 10:19:56.547
TW00000017,TW016,Tuen Mun Water Treatment Works,屯門濾水廠,屯门滤水厂,Tuen Mun WTW,RG_SR_000003,M,370.0000,2025-10-30 10:19:56.547,2025-10-30 10:19:56.547
TW00000006,TW005,Tsuen Wan Water Treatment Works,荃灣濾水廠,荃湾滤水厂,Tsuen Wan WTW,RG_SR_000003,M,318.0000,2025-10-30 10:19:56.547,2025-10-30 10:19:56.547
TW00000016,TW015,Red Hill Water Treatment Works,紅山濾水廠,红山滤水厂,Red Hill WTW,RG_SR_000001,I,20.0000,2025-10-30 10:19:56.547,2025-10-30 10:19:56.547
TW00000019,TW018,Yau Kom Tau Water Treatment Works,油柑頭濾水廠,油柑头滤水厂,Yau Kom Tau WTW,RG_SR_000003,M,250.0000,2025-10-30 10:19:56.547,2025-10-30 10:19:56.547
TW00000023,TW023,Sham Tseng Water Treatment Works,深井濾水廠,深井滤水厂,Sham Tseng WTW,,M,36.0000,2026-09-27 06:31:30.011,2026-09-27 06:31:30.011
TW00000013,TW012,Yuen Long Treatment Works,元朗濾水廠,元朗滤水厂,Yuen Long TW,,M,27.0000,2026-09-27 06:31:30.087,2026-09-27 06:31:30.087
TW00000005,TW004,Tai Po Road Water Treatment Works,大埔道濾水廠,大埔道滤水厂,Tai Po Road WTW,,M,32.0000,2026-09-27 06:31:30.158,2026-09-27 06:31:30.158
