"asset_id","region_abbr","sub_region","i_code","i_type_code","i_type_desc","ps_en","ps_cn","address_en","address_cn","dim_update_time","dim_load_time"
220,NTE,NTE(D1),PS070,RW,Raw Water,Lower Shing Mun No.2 Raw Water Pumping Station,下城門二號原水抽水站,"Lower Shing Mun Road, Sha Tin",沙田下城門道,2026-09-07 10:58:30.182 +0800,2026-09-07 10:58:30.182 +0800
205,NTE,NTE(D3),PH037,FW,Fresh Water,Kei Pik Shan Fresh Water Pump House,企壁山食水泵房,"Mang Kung Wo Road, Sai Kung",西貢孟公窩路,2026-09-07 10:58:30.182 +0800,2026-09-07 10:58:30.182 +0800
100,NTW,NTW(D2),PH035,FW,Fresh Water,Lung Kwu Sheung Tan Fresh Water Pump House,龍鼓上灘食水泵房,"Lung Kwu Sheung Tan, Tuen Mun",屯門龍鼓上灘,2026-09-07 10:58:30.182 +0800,2026-09-07 10:58:30.182 +0800
189,NTW,NTW(D4),PH005,FW,Fresh Water,Sheung Yat Chuen Fresh Water Pump House,上一村食水泵房,"Shing Mun Ha Chuen, Lei Muk Shue, Kwai Chung",荃灣梨木樹城門下村,2026-09-07 10:58:30.182 +0800,2026-09-07 10:58:30.182 +0800
156,K,K(D2),PS050,FW,Fresh Water,Bowen Drive Salt Water Pumping Station,寶雲徑海水抽水站,,,2026-09-07 10:58:30.182 +0800,2026-09-07 10:58:30.182 +0800
207,NTE,NTE(D3),PH016,FW,Fresh Water,Muk Min Shan Fresh Water Pump House,木棉山食水泵房,"Chuk Yeung Road, Muk Min Shan, Sai Kung",西貢木棉山竹洋路,2026-09-07 10:58:30.182 +0800,2026-09-07 10:58:30.182 +0800
211,NTE,NTE(D3),PH057,FW,Fresh Water,Sha Tau Fresh Water Pump House,沙頭食水泵房,"Sha Tau, Tai Po",大埔沙頭,2026-09-07 10:58:30.182 +0800,2026-09-07 10:58:30.182 +0800
184,NTW,NTW(D5),PH056,FW,Fresh Water,Lui Kung Tin Fresh Water Pump House,雷公田食水泵房,"Lui Kung Tin Village, Shek Kong",石崗雷公田村,2026-09-07 10:58:30.182 +0800,2026-09-07 10:58:30.182 +0800
190,NTW,NTW(D5),PH030,FW,Fresh Water,Shung Shan San Tsuen Fresh Water Pump House,崇山新村食水泵房,"Shung Shan San Tsuen, Yuen Long",元朗崇山新村,2026-09-07 10:58:30.182 +0800,2026-09-07 10:58:30.182 +0800
62,HKI,HKI(D3),PS048,FW,Fresh Water,Chai Wan North Fresh Water Pumping Station,柴灣北食水抽水站,,,2026-09-07 10:58:30.182 +0800,2026-09-07 10:58:30.182 +0800
216,NTE,NTE(D1),PH060,FW,Fresh Water,Ma On Shan Tsuen Fresh Water Pump House,馬鞍山村食水泵房,"Ma On Shan Tsuen, Ma On Shan",馬鞍山馬鞍山村,2026-09-07 10:58:30.182 +0800,2026-09-07 10:58:30.182 +0800
198,NTE,NTE(D4),PS039,RW,Raw Water,Tai Mei Tuk Raw Water Pumping Station,大美督原水抽水站,"Bride's Pool Road, Tai Mei Tuk, Tai Po",大埔大美督新娘潭路,2026-09-07 10:58:30.182 +0800,2026-09-07 10:58:30.182 +0800
44,HKI,HKI(D1),PS096,FW,Fresh Water,Mount Parker Road Fresh Water Pumping Station,柏架山道食水抽水站,"Mount Parker Road, Quarry Bay",鰂魚涌柏架山道,2026-09-07 10:58:30.182 +0800,2026-09-07 10:58:30.182 +0800
52,HKI,HKI(D1),PS071,FW,Fresh Water,So Kon Po Fresh Water Pumping Station,掃桿埔食水抽水站,"Behind Hong Kong Stadium, So Kon Po",掃桿埔香港大球場後面,2026-09-07 10:58:30.182 +0800,2026-09-07 10:58:30.182 +0800
235,HKI,HKI(D6),PH010,FW,Fresh Water,Wong Kung Tin Fresh Water Pump House,黃公田食水泵房,"Mui Wo, Lantau Island",大嶼山梅窩,2026-09-07 10:58:30.182 +0800,2026-09-07 10:58:30.182 +0800
225,NTE,NTE(D4),PH022,FW,Fresh Water,Lai Chi Hang Fresh Water Pump House,荔枝坑食水泵房,"Lai Chi Hang Village, Tai Po Road, Tai Po",大埔大埔道荔枝坑村,2026-09-07 10:58:30.182 +0800,2026-09-07 10:58:30.182 +0800
228,NTE,NTE(D4),PH051,FW,Fresh Water,Ting Kok Fresh Water Pump House,汀角食水泵房,"Ting Kok Road, Tai Mei Tuk, Tai Po",大埔大尾篤汀角路,2026-09-07 10:58:30.182 +0800,2026-09-07 10:58:30.182 +0800
222,NTE,NTE(D4),PH034,FW,Fresh Water,Lin Au Fresh Water Pump House,蓮澳食水泵房,"Shek Lin Road, Tai Po",大埔石蓮路,2026-09-07 10:58:30.182 +0800,2026-09-07 10:58:30.182 +0800
177,NTW,NTW(D1),PH040,FW,Fresh Water,Chuen Lung Fresh Water Pump House,川龍食水泵房,"Near Agriculture & Fisheries Dept, Chuen Lung Depot, Tsuen Wan",荃灣川龍廠近漁農處,2026-09-07 10:58:30.182 +0800,2026-09-07 10:58:30.182 +0800
