"installation_id","region_abbr","wtw_name_en","wtw_name_cn","wtw_name_tc","tag_name_en","tag_name_cn","tag_name_tc","units","water_type_code","category","tag_type","dim_update_time","dim_load_time"
TW018,NTW,Yau Kom Tau Water Treatment Works,油柑头滤水厂,油柑頭濾水廠,YKT_TreatedWaterTankLevel_Level_High_SP,清水池最高水位,清水池最高水位,m,WT_TW_000004,LEVEL,LEVEL,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW018,NTW,Yau Kom Tau Water Treatment Works,油柑头滤水厂,油柑頭濾水廠,YKT_Final_Fluoride_Fluoride,食水水质氟,食水水質氟,mg/L,WT_TW_000004,WATER QUALITY,FLUORIDE,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW018,NTW,Yau Kom Tau Water Treatment Works,油柑头滤水厂,油柑頭濾水廠,YKT_InletPress_Press,原水进水压力,原水進水壓力,m,WT_RW_000001,PRESSURE,PRESSURE,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW018,NTW,Yau Kom Tau Water Treatment Works,油柑头滤水厂,油柑頭濾水廠,YKT_Raw_Water_pH_PH,原水水质PH,原水水質PH,,WT_RW_000001,WATER QUALITY,PH,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW018,NTW,Yau Kom Tau Water Treatment Works,油柑头滤水厂,油柑頭濾水廠,YKT_RawWater_Turbidity_Turbidity,原水水质浊度,原水水質濁度,NTU,WT_RW_000001,WATER QUALITY,TURBIDITY,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW018,NTW,Yau Kom Tau Water Treatment Works,油柑头滤水厂,油柑頭濾水廠,YKT_TreatedWaterTankLevel_Level,清水池水位,清水池水位,m,WT_TW_000004,LEVEL,LEVEL,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW018,NTW,Yau Kom Tau Water Treatment Works,油柑头滤水厂,油柑頭濾水廠,YKT_TreatedWaterTankLevel_Level_Low_SP,清水池最低水位,清水池最低水位,m,WT_TW_000004,LEVEL,LEVEL,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW018,NTW,Yau Kom Tau Water Treatment Works,油柑头滤水厂,油柑頭濾水廠,YKT_DeliveryrFlow_Forward_TotalFlow,累计流量,累計流量,ML,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW018,NTW,Yau Kom Tau Water Treatment Works,油柑头滤水厂,油柑頭濾水廠,YKT_FinalWater_ResCl2_ResidualChlorine,食水水质余氯,食水水質餘氯,mg/L,WT_TW_000004,WATER QUALITY,CHLORINE,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW018,NTW,Yau Kom Tau Water Treatment Works,油柑头滤水厂,油柑頭濾水廠,YKT_Final_Water_pH_PH,食水水质PH,食水水質PH,,WT_TW_000004,WATER QUALITY,PH,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
