"i_code","region_abbr","wtw_name_en","wtw_name_cn","wtw_name_tc","tag_name_en","tag_name_cn","tag_name_tc","units","tag_type","dim_update_time","dim_load_time"
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,HVDeliveryFlowMeter_HartFlow,厂总出水量-3个出水口出水量总数-备用,廠總出水量-3個出水口出水量總數-備用,MLD,FLOW,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,HVDeliveryFlowMeter_JunkBayLevel,将军澳水塘配水库A高度,將軍澳水塘配水庫A高度,m,LEVEL,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,HVDeliveryFlowMeter_JunkBayLevelB,将军澳水塘配水库B高度,將軍澳水塘配水庫B高度,m,LEVEL,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,HVPumpSuctionPress_Press,入泵房水压力-1至9总压力,入泵房水壓力-1至9總壓力,m,PRESSURE,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,JunkBayDeliveryPress_Press,泵房出水压力-1至9总压力,泵房出水壓力-1至9總壓力,m,PRESSURE,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,LV_Pump_Delivery_Pressure_Press,低压泵房出水压力-10&11是低压,低壓泵房出水壓力-10&11是低壓,m,PRESSURE,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,PK_FinalRawWater_pH_PH,出厂水PH,出廠水PH,,PH,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,PK_FinalRawWater_ResChlorine_ResidualChlorine,出厂水余氯,出廠水餘氯,mg/L,CHLORINE,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,DeliveryFlowToTuiMinHoiSaiKungSR_HartFlow,出厂水流量-实时流量,出廠水流量-即時流量,MLD,FLOW,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,HVDeliveryFlowMeter_Acc_Total,厂总出水量-3个出水口出水量总数,廠總出水量-3個出水口出水量總數,ML,FLOW,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,HVDeliveryFlowMeter_Flow,厂总出水量-3个出水口出水量总数,廠總出水量-3個出水口出水量總數,MLD,FLOW,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,DeliveryFlowToPakKongAUSR_Acc_Total,出厂水流量-总流量,出廠水流量-總流量,ML,FLOW,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,DeliveryFlowToPakKongAUSR_Flow,出厂水流量-备用,出廠水流量-備用,MLD,FLOW,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,DeliveryFlowToPakKongAUSR_HartFlow,出厂水流量-实时流量,出廠水流量-即時流量,MLD,FLOW,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,DeliveryFlowToPlantService_Acc_Total,出厂水流量-总流量,出廠水流量-總流量,ML,FLOW,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,DeliveryFlowToPlantService_Flow,出厂水流量-备用,出廠水流量-備用,MLD,FLOW,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,DeliveryFlowToPlantService_HartFlow,出厂水流量-实时流量,出廠水流量-即時流量,MLD,FLOW,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,DeliveryFlowToTuiMinHoiSaiKungSR_Acc_Total,出厂水流量-总流量,出廠水流量-總流量,ML,FLOW,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,DeliveryFlowToTuiMinHoiSaiKungSR_Flow,出厂水流量-备用,出廠水流量-備用,MLD,FLOW,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,PK_Flow900_HartFlow,万宜水库入水瞬时流量-主用,萬宜水庫入水瞬時流量-主用,MLD,FLOW,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,PK_High_Island_Raw_pH_PH,万宜原水PH,萬宜原水PH,,PH,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,PK_High_Island_Raw_Turbidity_Turbidity,万宜原水浊度,萬宜原水濁度,NTU,TURBIDITY,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,PK_HighIsd_Press_Press,万宜水库入厂水压力,萬宜水庫入廠水壓力,m,PRESSURE,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,PK_HighIsd_Press_Press_Hi_SP2,万宜水库入厂水过压报警,萬宜水庫入廠水過壓警報,,ALARM,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,PK_Plover_Cover_Raw_pH_PH,船湾原水PH,船灣原水PH,,PH,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,PK_Plover_Cover_Raw_Turbidity_Turbidity,船湾原水浊度,船灣原水濁度,NTU,TURBIDITY,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,PK_RawWater_TotalFlow_Acc_Total,三个口径入水总量,三個口徑入水總量,ML,FLOW,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,PK_RawWater_TotalFlow_Flow,三个口径入水瞬时流量-备用,三個口徑入水瞬時流量-備用,MLD,FLOW,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,PK_RawWater_TotalFlow_HartFlow,三个口径入水瞬时流量-主用,三個口徑入水瞬時流量-主用,MLD,FLOW,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,PK_TreatWaterReservoir1_Level_Level,清水池液位,清水池液位,m,LEVEL,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,PK_TreatWaterReservoir2_Level_Level,清水池液位,清水池液位,m,LEVEL,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,PK_Flow1800_HartFlow,船湾入水瞬时流量-主用,船灣入水瞬時流量-主用,MLD,FLOW,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,PK_Flow900_Acc_Total,万宜水库入水总流量-900是管径,萬宜水庫入水總流量-900是管徑,ML,FLOW,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,PK_Flow900_Flow,万宜水库入水瞬时流量-备用,萬宜水庫入水瞬時流量-備用,MLD,FLOW,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
TW020,NTE,Pak Kong Water Treatment Works,北港滤水厂,北港濾水廠,PK_FinalRawWater_Turbidity_Turbidity,出厂水浊度,出廠水濁度,NTU,TURBIDITY,2026-04-27 15:03:27.269 +0800,2026-04-27 15:03:27.269 +0800
