"region_abbr","statistical_month","water_facility","water_supply","dm_update_time","dm_load_time"
NTE,"202306",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202304",15,10,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202508",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202401",10,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202402",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202408",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202506",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202309",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202310",15,10,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202308",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202312",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202311",17,11,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202305",17,11,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202507",10,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202501",10,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202502",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202406",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202403",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202307",10,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202407",10,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202412",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202505",17,11,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202503",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202504",15,10,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202301",10,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202302",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202303",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202404",15,10,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202411",17,11,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202405",17,11,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202409",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202410",15,10,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTE,"202601",10,6,2026-01-29 19:51:24.907,2026-01-29 19:51:24.907
NTE,"202512",14,9,2026-01-29 19:52:36.557,2026-01-29 19:52:36.557
NTE,"202511",17,11,2026-01-29 19:52:36.557,2026-01-29 19:52:36.557
NTE,"202509",14,9,2026-01-29 19:52:36.557,2026-01-29 19:52:36.557
NTE,"202510",15,10,2026-01-29 19:52:36.557,2026-01-29 19:52:36.557
NTE,"202602",14,9,2026-02-03 12:01:36.169,2026-02-03 12:01:36.169
HKSAR,"202508",48,31,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKSAR,"202303",48,30,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTW,"202304",10,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202308",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTW,"202309",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKSAR,"202306",48,30,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTW,"202412",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202405",11,7,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTW,"202306",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTW,"202301",6,4,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTW,"202502",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202503",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTW,"202407",6,4,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202409",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKSAR,"202307",34,22,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKSAR,"202309",48,30,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTW,"202311",11,7,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTW,"202310",10,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202401",6,4,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202411",11,7,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202410",10,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKSAR,"202407",34,22,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKSAR,"202403",48,30,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTW,"202405",11,7,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
