"asset_id","region","sub_region","installation_no","offical_eng_name","offical_chi_name","address_eng","address_chi","kwh_ml","running_pumps","total_pumps","mh","dm_update_time","dm_load_time"
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,307.00525,4.00000,4.00000,201212,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
50,HKI,HKI(D2),PS030,Severn Road Fresh Water Pumping Station,施勳道食水抽水站,"Severn Road, Mount Gough, The Peak",山頂歌賦山施勳道,675.04505,2.00000,2.00000,201103,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
5,HKI,HKI(D4),PS016,Shek Pik Raw Water Pumping Station,石壁原水抽水站,"Shek Pik Reservoir Road, Lantau Island",大嶼山石壁水塘道,290.46912,5.00000,5.00000,202111,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
156,,,,,,,,147.59090,3.00000,3.00000,202208,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
16,HKI,HKI(D1),PS090,Chai Wan North No.2 Fresh Water Pumping Station,柴灣北二號食水抽水站,"Chai Wan Road opp. Chai Wan Fire Station, Chai Wan",柴灣柴灣道柴灣消防局對面,82.45876,3.00000,5.00000,200910,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
48,HKI,HKI(D3),PS125,Repulse Bay Fresh Water Pumping Station,淺水灣食水抽水站,"Belleview Drive, Repulse Bay",淺水灣麗景道,43.02927,3.00000,4.00000,202403,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
156,,,,,,,,155.88369,2.00000,3.00000,201308,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
18,HKI,HKI(D1),PS007,Eastern Fresh Water Pumping Station,東區食水抽水站,"37 Stubbs Road, Wan Chai",灣仔司徒拔道37號,626.83051,5.00000,7.00000,202504,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
12,HKI,HKI(D3),PS105,Ap Lei Chau Salt Water Pumping Station,鴨脷洲海水抽水站,"Lee Nam Road near Lee Lok Street, Ap Lei Chau",鴨脷洲利南道近利樂街,386.94210,3.00000,3.00000,202309,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
12,HKI,HKI(D3),PS105,Ap Lei Chau Salt Water Pumping Station,鴨脷洲海水抽水站,"Lee Nam Road near Lee Lok Street, Ap Lei Chau",鴨脷洲利南道近利樂街,253.72231,3.00000,3.00000,201503,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
36,,,,,,,,322.57143,3.00000,4.00000,201312,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
125,,,,,,,,421.22548,2.00000,2.00000,201206,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
160,NTW,NTW(D4),PS073,Tai Wo Tsuen Salt Water Pumping Station,大窩村海水抽水站,"Wah Yiu Road, Kwai Chung",葵涌華瑤路,572.97884,1.00000,2.00000,201704,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
172,HKI,HKI(D3),PS165,Wah Fu Salt Water Pumping Station,華富海水抽水站,Wah Fu,華富,800.00000,1.00000,3.00000,201709,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
