"statistical_year","region_abbr","inter_item_code","type_code","item_value","dm_update_time","dm_load_time"
"2023",NTE,US_AS_000001,US_AR_000003,98.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2025",HKSAR,US_AS_000001,US_AR_000001,98.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2023",NTW,US_AS_000001,US_AR_000001,96.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2023",NTW,US_AS_000001,US_AR_000002,97.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2025",HKSAR,US_AS_000001,US_AR_000002,98.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2023",NTW,US_AS_000001,US_AR_000003,98.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2025",HKSAR,US_AS_000001,US_AR_000003,97.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2022",HKI,US_AS_000001,US_AR_000001,98.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2025",K,US_AS_000001,US_AR_000001,97.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2022",HKI,US_AS_000001,US_AR_000002,97.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2025",K,US_AS_000001,US_AR_000002,98.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2022",HKI,US_AS_000001,US_AR_000003,96.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2025",K,US_AS_000001,US_AR_000003,97.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2022",HKSAR,US_AS_000001,US_AR_000001,98.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2025",NTE,US_AS_000001,US_AR_000001,96.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2022",HKSAR,US_AS_000001,US_AR_000002,98.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2025",NTE,US_AS_000001,US_AR_000002,97.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2025",NTE,US_AS_000001,US_AR_000003,98.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2025",NTW,US_AS_000001,US_AR_000001,96.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2025",NTW,US_AS_000001,US_AR_000002,97.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2025",NTW,US_AS_000001,US_AR_000003,98.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2024",HKI,US_AS_000001,US_AR_000001,98.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2024",HKI,US_AS_000001,US_AR_000002,97.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2024",HKI,US_AS_000001,US_AR_000003,96.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2024",HKSAR,US_AS_000001,US_AR_000001,98.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2024",HKSAR,US_AS_000001,US_AR_000002,98.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2024",HKSAR,US_AS_000001,US_AR_000003,97.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2024",K,US_AS_000001,US_AR_000001,97.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2026",HKI,US_AS_000001,US_AR_000001,98.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2026",HKI,US_AS_000001,US_AR_000002,97.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2026",HKI,US_AS_000001,US_AR_000003,96.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2026",HKSAR,US_AS_000001,US_AR_000001,98.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2023",K,US_AS_000001,US_AR_000001,97.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2023",K,US_AS_000001,US_AR_000002,98.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2023",K,US_AS_000001,US_AR_000003,97.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2023",NTE,US_AS_000001,US_AR_000001,96.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2023",NTE,US_AS_000001,US_AR_000002,97.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2024",K,US_AS_000001,US_AR_000002,98.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2024",K,US_AS_000001,US_AR_000003,97.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2024",NTE,US_AS_000001,US_AR_000001,96.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2024",NTE,US_AS_000001,US_AR_000002,97.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2024",NTE,US_AS_000001,US_AR_000003,98.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2026",NTW,US_AS_000001,US_AR_000003,98.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2025",HKI,US_AS_000001,US_AR_000001,98.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2025",HKI,US_AS_000001,US_AR_000002,97.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2025",HKI,US_AS_000001,US_AR_000003,96.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2022",HKSAR,US_AS_000001,US_AR_000003,97.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2022",K,US_AS_000001,US_AR_000001,97.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2022",K,US_AS_000001,US_AR_000002,98.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2022",K,US_AS_000001,US_AR_000003,97.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2022",NTE,US_AS_000001,US_AR_000001,96.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2022",NTE,US_AS_000001,US_AR_000002,97.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2022",NTE,US_AS_000001,US_AR_000003,98.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2022",NTW,US_AS_000001,US_AR_000001,96.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2022",NTW,US_AS_000001,US_AR_000002,97.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2022",NTW,US_AS_000001,US_AR_000003,98.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2024",NTW,US_AS_000001,US_AR_000001,96.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2024",NTW,US_AS_000001,US_AR_000002,97.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2024",NTW,US_AS_000001,US_AR_000003,98.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2023",HKI,US_AS_000001,US_AR_000001,98.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2023",HKI,US_AS_000001,US_AR_000002,97.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
