"statistical_month","region_abbr","inter_item_code","type_code","item_value","dm_update_time","dm_load_time"
"202201",HKI,US_AS_000001,US_AR_000001,95.000000,2022-01-23 16:41:20.000,2022-01-23 16:41:20.000
"202201",HKI,US_AS_000001,US_AR_000002,96.000000,2022-01-23 16:41:20.000,2022-01-23 16:41:20.000
"202201",HKI,US_AS_000001,US_AR_000003,95.000000,2022-01-23 16:41:20.000,2022-01-23 16:41:20.000
"202201",HKSAR,US_AS_000001,US_AR_000001,97.000000,2022-01-23 16:41:20.000,2022-01-23 16:41:20.000
"202201",HKSAR,US_AS_000001,US_AR_000002,97.000000,2022-01-23 16:41:20.000,2022-01-23 16:41:20.000
"202201",HKSAR,US_AS_000001,US_AR_000003,97.000000,2022-01-23 16:41:20.000,2022-01-23 16:41:20.000
"202201",K,US_AS_000001,US_AR_000001,97.000000,2022-01-23 16:41:20.000,2022-01-23 16:41:20.000
"202201",K,US_AS_000001,US_AR_000002,95.000000,2022-01-23 16:41:20.000,2022-01-23 16:41:20.000
"202201",K,US_AS_000001,US_AR_000003,99.000000,2022-01-23 16:41:20.000,2022-01-23 16:41:20.000
"202201",NTE,US_AS_000001,US_AR_000001,99.000000,2022-01-23 16:41:20.000,2022-01-23 16:41:20.000
"202201",NTE,US_AS_000001,US_AR_000002,98.000000,2022-01-23 16:41:20.000,2022-01-23 16:41:20.000
"202201",NTE,US_AS_000001,US_AR_000003,96.000000,2022-01-23 16:41:20.000,2022-01-23 16:41:20.000
"202201",NTW,US_AS_000001,US_AR_000001,98.000000,2022-01-23 16:41:20.000,2022-01-23 16:41:20.000
"202201",NTW,US_AS_000001,US_AR_000002,98.000000,2022-01-23 16:41:20.000,2022-01-23 16:41:20.000
"202201",NTW,US_AS_000001,US_AR_000003,99.000000,2022-01-23 16:41:20.000,2022-01-23 16:41:20.000
"202202",HKI,US_AS_000001,US_AR_000001,95.000000,2022-02-23 16:41:20.000,2022-02-23 16:41:20.000
"202202",HKI,US_AS_000001,US_AR_000002,96.000000,2022-02-23 16:41:20.000,2022-02-23 16:41:20.000
"202202",HKI,US_AS_000001,US_AR_000003,99.000000,2022-02-23 16:41:20.000,2022-02-23 16:41:20.000
"202202",HKSAR,US_AS_000001,US_AR_000001,99.000000,2022-02-23 16:41:20.000,2022-02-23 16:41:20.000
"202202",HKSAR,US_AS_000001,US_AR_000002,95.000000,2022-02-23 16:41:20.000,2022-02-23 16:41:20.000
"202202",HKSAR,US_AS_000001,US_AR_000003,99.000000,2022-02-23 16:41:20.000,2022-02-23 16:41:20.000
"202202",K,US_AS_000001,US_AR_000001,98.000000,2022-02-23 16:41:20.000,2022-02-23 16:41:20.000
"202202",K,US_AS_000001,US_AR_000002,97.000000,2022-02-23 16:41:20.000,2022-02-23 16:41:20.000
"202202",K,US_AS_000001,US_AR_000003,95.000000,2022-02-23 16:41:20.000,2022-02-23 16:41:20.000
"202202",NTE,US_AS_000001,US_AR_000001,99.000000,2022-02-23 16:41:20.000,2022-02-23 16:41:20.000
"202202",NTE,US_AS_000001,US_AR_000002,98.000000,2022-02-23 16:41:20.000,2022-02-23 16:41:20.000
