"statistical_year","region_abbr","inter_item_code","item_value","dm_update_time","dm_load_time"
"2001",HKI,US_TP_000001,16207.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",HKI,US_TP_000001,159797.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",HKI,US_TP_000001,379744.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",HKI,US_TP_000001,544779.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",HKI,US_TP_000002,1359.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",HKI,US_TP_000002,8136.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",HKI,US_TP_000002,20159.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",HKI,US_TP_000002,26559.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",HKI,US_TP_000003,234.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",HKI,US_TP_000003,1644.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",HKI,US_TP_000003,3541.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",HKI,US_TP_000003,4465.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",HKI,US_TP_000004,1178.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",HKI,US_TP_000004,4062.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",HKI,US_TP_000004,10298.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",HKI,US_TP_000004,15642.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",HKI,US_TP_000005,216.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",HKI,US_TP_000005,1503.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",HKI,US_TP_000005,5390.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",HKI,US_TP_000005,9171.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",HKI,US_TP_000006,251.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",HKI,US_TP_000006,930.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",HKI,US_TP_000006,2811.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",HKI,US_TP_000006,4364.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",HKI,US_TP_000008,66.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",HKI,US_TP_000008,216.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",HKI,US_TP_000008,422.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",HKI,US_TP_000008,469.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",HKI,US_TP_000009,5.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",HKI,US_TP_000009,31.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",HKI,US_TP_000009,111.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",HKI,US_TP_000009,166.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",NTE,US_TP_000001,86366.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",NTE,US_TP_000002,1824.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",NTE,US_TP_000003,837.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",NTE,US_TP_000004,1388.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",NTE,US_TP_000005,706.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",NTE,US_TP_000006,788.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",NTE,US_TP_000008,23.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",NTE,US_TP_000009,8.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",HKSAR,US_TP_000005,766.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",HKSAR,US_TP_000006,17850.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",HKSAR,US_TP_000001,77489.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",HKSAR,US_TP_000004,5659.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",HKSAR,US_TP_000008,106.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",HKSAR,US_TP_000006,2275.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",HKSAR,US_TP_000002,109509.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",HKSAR,US_TP_000004,35629.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",HKSAR,US_TP_000001,308431.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",HKSAR,US_TP_000005,2360.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",HKSAR,US_TP_000003,29653.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
