"id","month","region","item_code","item_name","item_value","unit","etl_time"
11,"202408",香港特别行政区,"",水费目标收费,100.00,万元,2024-04-22 17:10:00.000
19,"202411",香港特别行政区,"",水费目标收费,130.00,万元,2024-04-22 17:10:00.000
50,"202406",HKI,"",运作区水费目标收费,80.00,万元,2024-04-22 17:10:00.000
69,"202406",NTE,"",运作区水费完成收费,50.00,万元,2024-04-22 17:10:00.000
71,"202408",NTE,"",运作区水费目标收费,100.00,万元,2024-04-22 17:10:00.000
72,"202408",NTE,"",运作区水费完成收费,230.00,万元,2024-04-22 17:10:00.000
73,"202411",NTE,"",运作区水费目标收费,130.00,万元,2024-04-22 17:10:00.000
84,"202411",NTE,"",运作区水费完成收费,260.00,万元,2024-04-22 17:10:00.000
89,"202406",NTW,"",运作区水费完成收费,210.00,万元,2024-04-22 17:10:00.000
103,"202406",HKI,"",运作区户表数量,32.00,个,2024-04-22 17:10:00.000
110,"202408",香港特别行政区,"",户表数量,15.00,个,2024-04-22 17:10:00.000
112,"202408",K,"",运作区户表数量,41.00,个,2024-04-22 17:10:00.000
123,"202406",K,"",运作区用水量,30.00,m3,2024-04-22 17:10:00.000
127,"202406",NTE,"",运作区用水量,22.00,m3,2024-04-22 17:10:00.000
129,"202406",NTW,"",运作区用水量,33.00,m3,2024-04-22 17:10:00.000
136,"202408",HKI,"",运作区用水量,41.00,m3,2024-04-22 17:10:00.000
138,"202408",NTE,"",运作区用水量,42.00,m3,2024-04-22 17:10:00.000
13,"202404",香港特别行政区,"",薄扶林压力,0.19,Mpa,2024-04-22 17:10:00.000
17,"202404",香港特别行政区,"",九华径压力,0.19,Mpa,2024-04-22 17:10:00.000
25,"202404",香港特别行政区,"",渣甸山流量,567.90,m3/h,2024-04-22 17:10:00.000
35,"202404",香港特别行政区,"",石梨貝水质合格率,92.00,%,2024-04-22 17:10:00.000
47,"202404",香港特别行政区,"",九华径水质合格率,92.00,%,2024-04-22 17:10:00.000
55,"202404",K,"",运作区渣甸山压力,0.25,Mpa,2024-04-22 17:10:00.000
61,"202404",K,"",运作区九华径压力,0.19,Mpa,2024-04-22 17:10:00.000
63,"202404",K,"",运作区石梨貝流量,563.90,m3/h,2024-04-22 17:10:00.000
66,"202404",K,"",运作区薄扶林流量,563.90,m3/h,2024-04-22 17:10:00.000
68,"202404",K,"",运作区九华径流量,563.90,m3/h,2024-04-22 17:10:00.000
70,"202404",K,"",运作区石梨貝水质合格率,96.00,%,2024-04-22 17:10:00.000
74,"202404",K,"",运作区渣甸山水质合格率,96.00,%,2024-04-22 17:10:00.000
77,"202404",HKI,"",运作区石梨貝压力,0.25,Mpa,2024-04-22 17:10:00.000
78,"202404",HKI,"",运作区渣甸山压力,0.25,Mpa,2024-04-22 17:10:00.000
80,"202404",HKI,"",运作区九华径压力,0.19,Mpa,2024-04-22 17:10:00.000
82,"202404",HKI,"",运作区渣甸山流量,564.90,m3/h,2024-04-22 17:10:00.000
85,"202404",HKI,"",运作区薄扶林流量,564.90,m3/h,2024-04-22 17:10:00.000
88,"202404",HKI,"",运作区石梨貝水质合格率,93.00,%,2024-04-22 17:10:00.000
98,"202404",NTE,"",运作区渣甸山压力,0.25,Mpa,2024-04-22 17:10:00.000
102,"202404",NTE,"",运作区九华径压力,0.19,Mpa,2024-04-22 17:10:00.000
111,"202404",NTE,"",运作区九华径流量,565.90,m3/h,2024-04-22 17:10:00.000
114,"202404",NTE,"",运作区渣甸山水质合格率,95.00,%,2024-04-22 17:10:00.000
139,"202404",NTW,"",运作区渣甸山水质合格率,94.00,%,2024-04-22 17:10:00.000
147,"202404",香港特别行政区,"",水费目标收费,60.00,万元,2024-04-22 17:10:00.000
170,"202403",K,"",运作区水费完成收费,350.00,万元,2024-04-22 17:10:00.000
188,"202403",HKI,"",运作区水费目标收费,50.00,万元,2024-04-22 17:10:00.000
190,"202404",HKI,"",运作区水费目标收费,60.00,万元,2024-04-22 17:10:00.000
196,"202402",NTE,"",运作区水费目标收费,40.00,万元,2024-04-22 17:10:00.000
