"installation_id","tag_name","comment","value","time","unit","water_biz_type","dm_update_time","dm_load_time"
TW025,FWPHAV,出廠食水-PH,8.63860,2026-01-03 01:00:00.000,,PH,2026-01-06 15:06:24.174,2026-01-06 15:06:24.174
TW025,FWCRAV,出廠食水-餘氯,1.07295,2026-01-03 01:30:00.000,mg/L,CHLORINE,2026-01-06 15:06:24.174,2026-01-06 15:06:24.174
TW025,FWTAV,出廠食水濁度,0.35000,2026-01-03 01:30:00.000,NTU,TURBIDITY,2026-01-06 15:06:24.174,2026-01-06 15:06:24.174
TW025,FWFRAV,出廠食水-氟,1.01000,2026-01-03 01:30:00.000,ppm,FLUORIDE,2026-01-06 15:06:24.174,2026-01-06 15:06:24.174
TW025,FWPHAV,出廠食水-PH,8.63860,2026-01-03 01:30:00.000,,PH,2026-01-06 15:06:24.174,2026-01-06 15:06:24.174
TW025,FWCRAV,出廠食水-餘氯,1.07295,2026-01-03 02:00:00.000,mg/L,CHLORINE,2026-01-06 15:06:24.174,2026-01-06 15:06:24.174
TW025,FWTAV,出廠食水濁度,0.35000,2026-01-03 02:00:00.000,NTU,TURBIDITY,2026-01-06 15:06:24.174,2026-01-06 15:06:24.174
TW025,FWFRAV,出廠食水-氟,1.01000,2026-01-03 02:00:00.000,ppm,FLUORIDE,2026-01-06 15:06:24.174,2026-01-06 15:06:24.174
TW025,FWPHAV,出廠食水-PH,8.63860,2026-01-03 02:00:00.000,,PH,2026-01-06 15:06:24.174,2026-01-06 15:06:24.174
TW025,FWCRAV,出廠食水-餘氯,1.07295,2026-01-03 02:30:00.000,mg/L,CHLORINE,2026-01-06 15:06:24.174,2026-01-06 15:06:24.174
TW025,FWTAV,出廠食水濁度,0.35000,2026-01-03 02:30:00.000,NTU,TURBIDITY,2026-01-06 15:06:24.174,2026-01-06 15:06:24.174
TW025,FWFRAV,出廠食水-氟,1.01000,2026-01-03 02:30:00.000,ppm,FLUORIDE,2026-01-06 15:06:24.174,2026-01-06 15:06:24.174
TW025,FWPHAV,出廠食水-PH,8.63860,2026-01-03 02:30:00.000,,PH,2026-01-06 15:06:24.174,2026-01-06 15:06:24.174
TW025,FWCRAV,出廠食水-餘氯,1.07295,2026-01-03 03:00:00.000,mg/L,CHLORINE,2026-01-06 15:06:24.174,2026-01-06 15:06:24.174
TW025,FWTAV,出廠食水濁度,0.35000,2026-01-03 03:00:00.000,NTU,TURBIDITY,2026-01-06 15:06:24.174,2026-01-06 15:06:24.174
