"statistical_month","i_code","tw_name_en","tw_name_tc","tw_name_cn","region_code","water_type_code","water_type_en","water_type_tc","water_type_cn","qualification_rate","dm_update_time","dm_load_time"
"202509",TW025,Siu Ho Wan Water Treatment Works,小蠔灣濾水廠,小蚝湾滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.60000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202410",TW011,Tai O Water Treatment Works,大澳濾水廠,大澳滤水厂,RG_SR_000001,WT_RW_000001,Raw Water,原水,原水,90.40000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202407",TW019,Cheung Sha Water Treatment Works,長沙濾水廠,长沙滤水厂,RG_SR_000001,WT_RW_000001,Raw Water,原水,原水,99.20000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202306",TW025,Siu Ho Wan Water Treatment Works,小蠔灣濾水廠,小蚝湾滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,94.70000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202409",TW019,Cheung Sha Water Treatment Works,長沙濾水廠,长沙滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.00000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202108",TW015,Red Hill Water Treatment Works,紅山濾水廠,红山滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.50000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202105",TW025,Siu Ho Wan Water Treatment Works,小蠔灣濾水廠,小蚝湾滤水厂,RG_SR_000001,WT_TW_000002,Dosed Water,投藥水,投药水,97.90000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202208",TW025,Siu Ho Wan Water Treatment Works,小蠔灣濾水廠,小蚝湾滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,90.50000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202212",TW011,Tai O Water Treatment Works,大澳濾水廠,大澳滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,97.60000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202401",TW019,Cheung Sha Water Treatment Works,長沙濾水廠,长沙滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,99.30000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202112",TW009,Silver Mine Bay Water Treatment Works,銀礦灣濾水廠,银矿湾滤水厂,RG_SR_000001,WT_TW_000002,Dosed Water,投藥水,投药水,94.80000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202212",TW011,Tai O Water Treatment Works,大澳濾水廠,大澳滤水厂,RG_SR_000001,WT_TW_000002,Dosed Water,投藥水,投药水,91.40000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202310",TW019,Cheung Sha Water Treatment Works,長沙濾水廠,长沙滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.40000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202203",TW019,Cheung Sha Water Treatment Works,長沙濾水廠,长沙滤水厂,RG_SR_000001,WT_RW_000001,Raw Water,原水,原水,98.40000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202502",TW009,Silver Mine Bay Water Treatment Works,銀礦灣濾水廠,银矿湾滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.70000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202102",TW019,Cheung Sha Water Treatment Works,長沙濾水廠,长沙滤水厂,RG_SR_000001,WT_TW_000002,Dosed Water,投藥水,投药水,99.70000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202302",TW015,Red Hill Water Treatment Works,紅山濾水廠,红山滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,91.60000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202506",TW025,Siu Ho Wan Water Treatment Works,小蠔灣濾水廠,小蚝湾滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,94.70000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
