"ID","Region","Installation_No","Offical_Eng_Name","Offical_Chi_Name","Address_Eng","Address_Chi","Tel_No","Fax_No"
1,HK,PS001,Aberdeen Raw Water Pumping Station,香港仔原水抽水站,"Aberdeen Reservoir Road, Aberdeen",香港仔香港仔水塘道,"25539417",NA
2,HK,PS002,Middle Gap Fresh Water Pumping Station,中峽食水抽水站,"Mount Nicholson Road, Mount Nicholson",聶歌信山聶歌信山道,"25726868",NA
3,HK,PS003,Tai Tam Tuk Raw Water Pumping Station,大潭篤原水抽水站,"Tai Tam Reservoir Road, Tai Tam",大潭大潭水塘道,"28130364",NA
4,HK,PS004,Peak Fresh Water Pumping Station,山頂食水抽水站,"Victoria Peak, The Peak",山頂扯旗山,"28495622",NA
5,HK,PS006,Bowen Road Fresh Water Pumping Station,寶雲道食水抽水站,"2A Bowen Drive, Mid-levels",半山區寶雲徑2號A,"25277070",NA
6,HK,PS007,Eastern Fresh Water Pumping Station,東區食水抽水站,"37 Stubbs Road, Wan Chai",灣仔司徒拔道37號,"25722381",NA
7,HK,PS008,Stanley Mound Fresh Water Pumping Station,赤柱崗食水抽水站,"Stanley Mound Road, Stanley",赤柱赤柱村道,"28990056",NA
8,HK,PS009,Garden Road Fresh Water Pumping Station,花園道食水抽水站,"Garden Road, Central",中區花園道,"25221402",NA
9,NTW,PS010,Kau Wa Keng Fresh Water Pumping Station,九華徑食水抽水站,"Cheung Hang Road, Kau Wa Keng, Lai Chi Kok",荔枝角九華徑長坑道,"27416854",NA
10,HK,PS013,North Point Fresh Water Pumping Station,北角食水抽水站,"Tin Hau Temple Road, North Point",北角天后廟道,"25708383",NA
11,HK,PS014,Cheung Sha Shaft Raw Water Pumping Station,長沙豎井原水抽水站,"Cheung Sha, Lantau Island",大嶼山長沙,"29803091",NA
12,HK,PS016,Shek Pik Raw Water Pumping Station,石壁原水抽水站,"Shek Pik Reservoir Road, Lantau Island",大嶼山石壁水塘道,"29802143",NA
13,NTE,PS017,Sha Tin Fresh Water Pumping Station,沙田食水抽水站,"12 Keng Hau Road, Sha Tin",沙田徑口路12號,"26911538",NA
14,NTE,PS018,Sha Tin No.2 Fresh Water Pumping Station,沙田二號食水抽水站,"12 Keng Hau Road, Sha Tin",沙田徑口路12號,"26911538",NA
15,NTE,PS019,Tai Po Tau Raw Water Pumping Station,大埔頭原水抽水站,"2800 Tai Po Road, Tai Wo Section, Tai Po",大埔大埔道太和段2800號,"26504500",NA
16,NTE,PS020,Tai Po Tau No.2 Raw Water Pumping Station,大埔頭二號原水抽水站,"2800 Tai Po Road, Tai Wo Section, Tai Po",大埔大埔道太和段2800號,"26504500",NA
17,HK,PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,"29810529",NA
18,K,PS022,Diamond Hill Fresh Water and Salt Water Pumping Station,鑽石山食水及海水抽水站,"Sha Tin Pass Road, Wong Tai Sin",黃大仙沙田坳道,"23207636",NA
19,NTE,PS023,Lower Shing Mun Raw Water Pumping Station,下城門原水抽水站,"Lower Shing Mun Road, Sha Tin",沙田下城門道,"26912018",NA
20,HK,PS025,Albany No.2 Fresh Water Pumping Station,雅賓利二號食水抽水站,"Magazine Gap Road, Mid-levels",半山區馬己仙峽道,"25249300",NA
